asset,asset_name,expected_return,annualized_volatility
SPY,SPDR S&P 500 ETF Trust,0.1294650631452574,0.17496914627738747
ISTB,iShares 1-5 Year USD Bond ETF,0.024552115676573116,0.0210067457111757
IYR,iShares U.S. Real Estate ETF,0.08359593631830387,0.19876303840972395
REM,iShares Mortgage Real Estate ETF,0.052264204211736054,0.27892168840464904
GLD,SPDR Gold Shares,0.06086439198710569,0.14091138124492933
CL=F,WTI Crude Oil,-0.09222221348991633,1.3449826014513788
AAPL,Apple Inc.,0.3347125225197243,0.28620028862679037
MSFT,Microsoft Corporation,0.3187776247844747,0.2673678201116226
JNJ,Johnson & Johnson,0.11146834452684451,0.18732847513701445
JPM,JPMorgan Chase & Co.,0.1484961359190078,0.2797869914731476
BA,Boeing Company,0.09049359776244947,0.40018926243095093
NKE,Nike Inc.,0.2154965400993496,0.2660399329938788
AMZN,Amazon.com Inc.,0.35073645372952256,0.3118924059025675
DB1.DE,Deutsche Börse AG,0.15900821631522688,0.23885716645540125
IEMG,iShares Core MSCI EM ETF,0.06322242931929867,0.20710143274737292
ILF,iShares Latin America 40 ETF,-0.00405653782066262,0.31518034229007114
